episodeId,amountMinor,failureCategory,paymentMethod,subscriptionStatus,failureCount,consecutiveFailureCount,subscriptionAgeDays,previousRecoveryRate,previousFailedPayments,previousNudges,nativeRetryPossible,downtimeActive,diagnosisConfidence,candidateAction,downtimeSeverity,caseAgeHours,recoveredWithin7Days
episode_00081,29900,TEMPORARY_FUNDS,card,pending,4,3,178,0.0,4,0,True,False,HIGH,REQUEST_CARD_UPDATE,none,38.449,0
episode_00082,69900,BANK_OR_NETWORK,card,pending,2,2,127,1.0,2,0,True,False,HIGH,WAIT_NATIVE_RETRY,none,35.866,1
episode_00083,69900,PAYMENT_METHOD_INVALID,emandate,pending,2,3,177,0.6,5,0,True,True,HIGH,STOP_AND_ESCALATE,medium,12.652,0
episode_00084,29900,MANDATE_OR_AUTH_INVALID,upi,pending,1,2,291,0.0,2,1,True,False,HIGH,SEND_NUDGE,none,10.115,0
episode_00085,29900,UNKNOWN,card,pending,2,4,454,0.0,0,0,True,False,LOW,WAIT_NATIVE_RETRY,none,53.502,1
episode_00086,29900,BANK_OR_NETWORK,card,pending,1,1,154,0.0,0,0,True,False,HIGH,WAIT_NATIVE_RETRY,none,35.768,1
episode_00087,149900,UNKNOWN,card,halted,2,3,89,0.5,2,1,False,False,LOW,REQUEST_CARD_UPDATE,none,9.519,0
episode_00088,29900,BANK_OR_NETWORK,card,pending,2,2,577,1.0,1,0,True,False,MEDIUM,WAIT_NATIVE_RETRY,none,117.19,0
episode_00089,69900,MANDATE_OR_AUTH_INVALID,card,pending,3,2,259,0.0,1,2,True,False,MEDIUM,WAIT_NATIVE_RETRY,none,34.333,0
episode_00090,69900,BANK_OR_NETWORK,netbanking,pending,3,1,97,0.0,0,0,True,False,HIGH,WAIT_NATIVE_RETRY,none,34.398,1
episode_00091,69900,TEMPORARY_FUNDS,card,pending,1,1,162,0.0,3,0,True,False,HIGH,REQUEST_CARD_UPDATE,none,21.982,0
episode_00092,29900,CUSTOMER_AUTH_FAILURE,upi,pending,4,3,62,0.0,5,1,True,False,HIGH,STOP_AND_ESCALATE,none,32.918,0
episode_00093,69900,BANK_OR_NETWORK,card,pending,1,1,36,0.0,1,0,True,False,MEDIUM,STOP_AND_ESCALATE,none,24.6,0
episode_00094,29900,BANK_OR_NETWORK,emandate,pending,3,1,243,0.0,3,0,True,False,LOW,WAIT_NATIVE_RETRY,none,92.557,1
episode_00095,29900,PAYMENT_METHOD_INVALID,card,pending,2,2,684,0.0,1,0,True,True,HIGH,WAIT_NATIVE_RETRY,high,35.298,0
episode_00096,29900,PAYMENT_METHOD_INVALID,upi,halted,2,1,160,1.0,2,0,False,False,MEDIUM,REQUEST_CARD_UPDATE,none,30.269,0
episode_00097,69900,TEMPORARY_FUNDS,unknown,pending,1,2,399,0.0,0,0,True,True,HIGH,REQUEST_CARD_UPDATE,high,22.739,0
episode_00098,29900,PAYMENT_METHOD_INVALID,upi,pending,2,1,117,0.25,4,2,True,False,HIGH,WAIT_NATIVE_RETRY,none,23.976,1
episode_00099,69900,CUSTOMER_AUTH_FAILURE,unknown,pending,1,1,197,0.4,5,1,True,False,HIGH,SEND_NUDGE,none,14.7,0
episode_00100,29900,CUSTOMER_AUTH_FAILURE,upi,pending,3,1,241,1.0,4,1,True,False,HIGH,SEND_NUDGE,none,17.995,1
episode_00101,29900,BANK_OR_NETWORK,upi,halted,3,3,70,0.0,1,1,False,False,HIGH,WAIT_NATIVE_RETRY,none,17.62,1
episode_00102,69900,BANK_OR_NETWORK,card,pending,1,2,160,0.0,5,0,True,False,LOW,STOP_AND_ESCALATE,none,11.146,0
episode_00103,69900,CUSTOMER_AUTH_FAILURE,emandate,pending,2,2,278,0.0,0,0,True,False,HIGH,SEND_NUDGE,none,48.46,1
episode_00104,69900,BANK_OR_NETWORK,upi,pending,2,1,98,1.0,3,1,True,False,LOW,WAIT_NATIVE_RETRY,none,15.567,1
episode_00105,69900,PAYMENT_METHOD_INVALID,card,pending,1,2,188,1.0,2,1,True,True,HIGH,WAIT_NATIVE_RETRY,high,4.479,0
episode_00106,149900,UNKNOWN,card,pending,2,2,390,0.666667,3,2,True,False,LOW,STOP_AND_ESCALATE,none,82.678,0
episode_00107,69900,BANK_OR_NETWORK,card,pending,1,2,299,0.0,1,1,True,False,MEDIUM,WAIT_NATIVE_RETRY,none,28.245,1
episode_00108,29900,CUSTOMER_AUTH_FAILURE,card,halted,1,2,136,1.0,4,1,False,False,HIGH,REQUEST_CARD_UPDATE,none,15.316,1
episode_00109,29900,PAYMENT_METHOD_INVALID,upi,pending,1,3,159,0.0,3,2,True,False,HIGH,REQUEST_CARD_UPDATE,none,19.854,0
episode_00110,29900,CUSTOMER_AUTH_FAILURE,card,pending,2,3,71,1.0,3,1,True,False,HIGH,SEND_NUDGE,none,19.528,0
episode_00111,69900,TEMPORARY_FUNDS,upi,pending,2,2,134,0.0,1,1,True,False,HIGH,WAIT_NATIVE_RETRY,none,3.639,1
episode_00112,69900,CUSTOMER_AUTH_FAILURE,emandate,halted,3,3,61,0.0,0,2,False,False,HIGH,REQUEST_CARD_UPDATE,none,36.123,0
episode_00113,29900,MANDATE_OR_AUTH_INVALID,upi,halted,2,1,312,0.0,0,1,False,False,HIGH,WAIT_NATIVE_RETRY,none,30.513,0
episode_00114,149900,UNKNOWN,card,pending,1,2,28,0.0,1,1,True,False,MEDIUM,WAIT_NATIVE_RETRY,none,22.929,1
episode_00115,149900,TEMPORARY_FUNDS,upi,pending,2,3,275,0.0,2,2,True,False,MEDIUM,REQUEST_CARD_UPDATE,none,22.989,0
episode_00116,29900,TEMPORARY_FUNDS,card,halted,2,4,250,0.5,2,0,False,False,HIGH,WAIT_NATIVE_RETRY,none,21.135,0
episode_00117,69900,PAYMENT_METHOD_INVALID,card,halted,1,1,95,0.0,0,0,False,False,HIGH,WAIT_NATIVE_RETRY,none,16.366,0
episode_00118,69900,BANK_OR_NETWORK,unknown,pending,1,2,68,1.0,1,0,True,False,LOW,WAIT_NATIVE_RETRY,none,62.009,1
episode_00119,29900,UNKNOWN,upi,pending,2,1,122,0.0,3,1,True,False,LOW,REQUEST_CARD_UPDATE,none,165.025,0
episode_00120,29900,TEMPORARY_FUNDS,card,pending,2,4,225,0.0,3,2,True,False,HIGH,SEND_NUDGE,none,36.699,0
episode_00121,29900,UNKNOWN,card,halted,2,3,230,1.0,1,1,False,False,LOW,REQUEST_CARD_UPDATE,none,34.982,1
episode_00122,29900,TEMPORARY_FUNDS,upi,pending,3,2,47,0.0,0,0,True,False,LOW,WAIT_NATIVE_RETRY,none,56.773,1
episode_00123,29900,CUSTOMER_AUTH_FAILURE,upi,pending,2,1,126,0.5,2,0,True,False,HIGH,SEND_NUDGE,none,28.959,0
episode_00124,29900,PAYMENT_METHOD_INVALID,upi,pending,3,1,83,0.0,1,2,True,True,HIGH,STOP_AND_ESCALATE,low,22.361,0
episode_00125,69900,PAYMENT_METHOD_INVALID,card,pending,1,2,122,1.0,1,1,True,False,MEDIUM,STOP_AND_ESCALATE,none,21.028,0
episode_00126,69900,PAYMENT_METHOD_INVALID,netbanking,pending,5,1,85,0.0,1,0,True,False,HIGH,STOP_AND_ESCALATE,none,6.481,0
episode_00127,69900,CUSTOMER_AUTH_FAILURE,card,pending,2,1,221,0.5,2,0,True,False,HIGH,WAIT_NATIVE_RETRY,none,10.822,1
episode_00128,29900,CUSTOMER_AUTH_FAILURE,card,halted,1,2,280,0.0,2,1,False,False,MEDIUM,STOP_AND_ESCALATE,none,11.776,0
episode_00129,29900,BANK_OR_NETWORK,upi,pending,3,1,479,1.0,1,3,True,False,MEDIUM,REQUEST_CARD_UPDATE,none,41.502,0
episode_00130,149900,MANDATE_OR_AUTH_INVALID,card,pending,2,1,345,0.0,0,2,True,False,HIGH,WAIT_NATIVE_RETRY,none,14.37,0
episode_00131,149900,CUSTOMER_AUTH_FAILURE,card,pending,1,1,105,1.0,2,0,True,False,MEDIUM,REQUEST_CARD_UPDATE,none,96.952,0
episode_00132,69900,BANK_OR_NETWORK,card,pending,2,1,715,0.0,1,0,True,False,HIGH,WAIT_NATIVE_RETRY,none,40.2,1
episode_00133,69900,BANK_OR_NETWORK,card,halted,2,2,89,0.333333,3,0,False,False,HIGH,REQUEST_CARD_UPDATE,none,13.564,0
episode_00134,69900,TEMPORARY_FUNDS,upi,pending,2,2,198,0.5,2,0,True,False,MEDIUM,REQUEST_CARD_UPDATE,none,44.917,1
episode_00135,149900,BANK_OR_NETWORK,upi,pending,1,1,112,0.0,4,0,True,False,LOW,STOP_AND_ESCALATE,none,40.175,0
episode_00136,29900,TEMPORARY_FUNDS,card,pending,2,3,181,0.0,0,0,True,False,HIGH,STOP_AND_ESCALATE,none,19.121,0
episode_00137,69900,BANK_OR_NETWORK,upi,pending,2,1,23,0.666667,3,0,True,False,HIGH,SEND_NUDGE,none,18.61,0
episode_00138,149900,CUSTOMER_AUTH_FAILURE,card,pending,2,2,176,1.0,2,0,True,False,LOW,WAIT_NATIVE_RETRY,none,38.437,1
episode_00139,29900,PAYMENT_METHOD_INVALID,card,halted,3,2,236,1.0,1,1,False,False,HIGH,WAIT_NATIVE_RETRY,none,25.651,0
episode_00140,29900,TEMPORARY_FUNDS,upi,pending,2,3,133,0.0,0,0,True,False,HIGH,WAIT_NATIVE_RETRY,none,27.841,0
episode_00141,29900,PAYMENT_METHOD_INVALID,card,pending,3,3,38,0.5,2,1,True,False,HIGH,WAIT_NATIVE_RETRY,none,42.509,1
episode_00142,149900,UNKNOWN,card,pending,2,1,75,0.666667,3,2,True,False,LOW,STOP_AND_ESCALATE,none,48.775,0
episode_00143,69900,MANDATE_OR_AUTH_INVALID,card,pending,3,1,145,0.5,4,1,True,False,HIGH,REQUEST_CARD_UPDATE,none,35.602,1
episode_00144,69900,CUSTOMER_AUTH_FAILURE,card,halted,1,1,114,0.0,4,0,False,False,HIGH,SEND_NUDGE,none,44.918,0
episode_00145,69900,TEMPORARY_FUNDS,unknown,pending,1,3,38,0.0,1,0,True,False,MEDIUM,SEND_NUDGE,none,42.077,1
episode_00146,69900,CUSTOMER_AUTH_FAILURE,card,pending,3,2,133,0.75,4,0,True,False,MEDIUM,STOP_AND_ESCALATE,none,8.023,0
episode_00147,69900,CUSTOMER_AUTH_FAILURE,card,pending,2,1,36,0.0,3,0,True,False,MEDIUM,SEND_NUDGE,none,5.046,0
episode_00148,69900,CUSTOMER_AUTH_FAILURE,netbanking,pending,3,1,314,1.0,1,0,True,False,HIGH,WAIT_NATIVE_RETRY,none,55.957,0
episode_00149,29900,PAYMENT_METHOD_INVALID,card,pending,2,1,379,0.0,0,0,True,False,HIGH,SEND_NUDGE,none,49.631,0
episode_00150,29900,TEMPORARY_FUNDS,upi,pending,2,1,82,1.0,1,2,True,False,HIGH,REQUEST_CARD_UPDATE,none,37.424,0
episode_00151,69900,TEMPORARY_FUNDS,card,pending,3,1,100,1.0,1,0,True,True,MEDIUM,WAIT_NATIVE_RETRY,medium,61.826,1
episode_00152,149900,BANK_OR_NETWORK,card,pending,4,5,387,0.428571,7,3,True,False,HIGH,REQUEST_CARD_UPDATE,none,32.4,0
episode_00153,69900,TEMPORARY_FUNDS,card,halted,3,1,222,0.0,1,0,False,False,LOW,SEND_NUDGE,none,97.021,1
episode_00154,149900,MANDATE_OR_AUTH_INVALID,card,pending,3,4,76,0.0,5,0,True,False,HIGH,WAIT_NATIVE_RETRY,none,22.695,0
episode_00155,69900,CUSTOMER_AUTH_FAILURE,upi,pending,4,2,244,1.0,1,0,True,False,HIGH,REQUEST_CARD_UPDATE,none,149.679,1
episode_00156,69900,PAYMENT_METHOD_INVALID,card,pending,2,1,96,0.5,2,1,True,False,MEDIUM,REQUEST_CARD_UPDATE,none,22.299,1
episode_00157,69900,TEMPORARY_FUNDS,card,pending,2,2,72,1.0,1,1,True,False,HIGH,REQUEST_CARD_UPDATE,none,35.45,1
episode_00158,69900,TEMPORARY_FUNDS,unknown,pending,1,4,124,0.5,2,0,True,False,HIGH,STOP_AND_ESCALATE,none,0.564,0
episode_00159,149900,TEMPORARY_FUNDS,card,pending,3,1,123,1.0,1,0,True,False,MEDIUM,SEND_NUDGE,none,8.684,1
episode_00160,29900,UNKNOWN,card,pending,3,1,237,1.0,3,1,True,False,MEDIUM,STOP_AND_ESCALATE,none,3.006,1
episode_00161,29900,BANK_OR_NETWORK,card,pending,1,2,60,0.0,3,3,True,False,HIGH,SEND_NUDGE,none,70.466,0
episode_00162,69900,TEMPORARY_FUNDS,unknown,pending,4,1,39,0.0,2,0,True,False,HIGH,SEND_NUDGE,none,9.513,1
episode_00163,149900,MANDATE_OR_AUTH_INVALID,card,pending,2,1,285,0.0,1,1,True,False,HIGH,WAIT_NATIVE_RETRY,none,9.42,1
episode_00164,149900,UNKNOWN,card,pending,2,2,151,0.25,4,0,True,False,LOW,REQUEST_CARD_UPDATE,none,13.058,0
episode_00165,69900,BANK_OR_NETWORK,card,halted,3,1,130,0.333333,3,0,False,True,HIGH,SEND_NUDGE,medium,6.4,0
episode_00166,69900,BANK_OR_NETWORK,emandate,pending,1,1,286,0.0,2,1,True,True,MEDIUM,STOP_AND_ESCALATE,medium,38.02,0
episode_00167,149900,UNKNOWN,card,pending,5,2,237,0.75,4,1,True,False,LOW,REQUEST_CARD_UPDATE,none,26.018,0
episode_00168,69900,PAYMENT_METHOD_INVALID,card,pending,2,2,256,0.0,4,0,True,True,LOW,WAIT_NATIVE_RETRY,medium,14.934,0
episode_00169,29900,MANDATE_OR_AUTH_INVALID,emandate,pending,4,3,81,0.5,2,2,True,False,MEDIUM,WAIT_NATIVE_RETRY,none,27.766,0
episode_00170,29900,TEMPORARY_FUNDS,upi,pending,3,1,95,1.0,3,1,True,False,HIGH,SEND_NUDGE,none,53.856,1
episode_00171,29900,CUSTOMER_AUTH_FAILURE,upi,pending,1,2,379,1.0,2,0,True,False,HIGH,SEND_NUDGE,none,18.942,1
episode_00172,149900,PAYMENT_METHOD_INVALID,card,pending,1,2,229,1.0,2,2,True,False,HIGH,REQUEST_CARD_UPDATE,none,9.775,1
episode_00173,29900,MANDATE_OR_AUTH_INVALID,upi,halted,1,2,119,0.8,5,3,False,True,HIGH,WAIT_NATIVE_RETRY,low,10.012,0
episode_00174,29900,BANK_OR_NETWORK,netbanking,pending,3,1,145,0.0,3,2,True,False,MEDIUM,STOP_AND_ESCALATE,none,18.84,0
episode_00175,29900,PAYMENT_METHOD_INVALID,card,pending,2,1,186,1.0,1,1,True,False,HIGH,WAIT_NATIVE_RETRY,none,8.726,0
episode_00176,29900,UNKNOWN,card,pending,2,2,327,0.666667,3,0,True,False,LOW,REQUEST_CARD_UPDATE,none,17.297,0
episode_00177,29900,TEMPORARY_FUNDS,card,pending,4,1,447,0.0,1,0,True,False,MEDIUM,SEND_NUDGE,none,17.892,1
episode_00178,149900,TEMPORARY_FUNDS,card,pending,2,1,201,0.0,1,0,True,False,HIGH,REQUEST_CARD_UPDATE,none,35.329,0
episode_00179,29900,PAYMENT_METHOD_INVALID,card,pending,3,2,410,1.0,1,0,True,False,HIGH,WAIT_NATIVE_RETRY,none,17.407,0
episode_00180,29900,TEMPORARY_FUNDS,card,pending,2,2,120,1.0,2,3,True,False,HIGH,WAIT_NATIVE_RETRY,none,19.133,0
episode_00181,69900,TEMPORARY_FUNDS,upi,halted,2,2,220,0.5,2,0,False,False,HIGH,SEND_NUDGE,none,42.085,1
